family,candidate,round,iterations,work_items,elapsed_ns,items_per_second,checksum,state_bytes,unit
numeric_motion,fixed_q16_16,2,27857,114102272,95748200,1191691039.623,5114672997083190090,65536,fighter_ticks
numeric_motion,float32,2,19609,80318464,97025086,827811314.694,5809389148921457387,65536,fighter_ticks
broadphase_sparse,grid_16x16,2,515385,8246160,101013837,81633964.662,2834618,2048,attacker_queries
broadphase_sparse,naive,2,305852,4893632,94654583,51699894.975,1682187,0,attacker_queries
snapshot_64k,tracked_dirty_8x64,2,2834956,2834956,94985988,29846044.240,15415350360390020090,528,snapshots
broadphase_dense,sweep_rebuild,2,61228,979648,94055753,10415609.559,696470,0,attacker_queries
state_dispatch,data_table,2,14372,470941696,99880549,4715049133.340,463686832922926989,294912,entity_dispatches
broadphase_sparse,bitboard_256x256,2,256867,4109872,99454512,41324138.215,1412769,8192,attacker_queries
world_resolution,world_4096_u16,2,22903,93810688,96690390,970217288.399,6026945843039854204,32768,fighter_ticks
broadphase_dense,naive,2,84031,1344496,104736260,12836967.828,955853,0,attacker_queries
world_resolution,world_256_u8,2,22020,90193920,96830084,931465886.160,582423745202475247,16384,fighter_ticks
numeric_motion,cell_256_int8,2,12932,52969472,100374371,527719092.755,4953305751670994776,16384,fighter_ticks
broadphase_dense,bitboard_256x256,2,128842,2061472,97754487,21088259.611,1465579,8192,attacker_queries
layout_update,aos_with_cold,2,1786,58523648,95431971,613249913.910,6126265558611129152,2359296,entity_updates
state_dispatch,function_table,3,370,12124160,95912979,126407918.161,4741419544511688588,294912,entity_dispatches
broadphase_sparse,grid_16x16,3,515385,8246160,101009779,81637244.251,2834618,2048,attacker_queries
broadphase_sparse,sweep_rebuild,3,492834,7885344,93864117,84008077.336,2710588,0,attacker_queries
numeric_motion,float32,3,19609,80318464,101614804,790420891.822,5809389148921457387,65536,fighter_ticks
snapshot_64k,full_copy_restore,3,34395,34395,96847002,355147.803,11454064898595554491,65536,snapshots
world_resolution,world_4096_u16,3,22903,93810688,107208937,875026752.667,6026945843039854204,32768,fighter_ticks
broadphase_sparse,bitboard_256x256,3,256867,4109872,96817749,42449571.927,1412769,8192,attacker_queries
snapshot_64k,scan_delta_64byte_chunks,3,66434,66434,99354332,668657.306,2425371727853661043,65536,snapshots
broadphase_dense,naive,3,84031,1344496,101607327,13232274.086,955853,0,attacker_queries
broadphase_dense,sweep_rebuild,3,61228,979648,95365682,10272542.276,696470,0,attacker_queries
broadphase_sparse,naive,3,305852,4893632,94315841,51885578.797,1682187,0,attacker_queries
state_dispatch,data_table,3,14372,470941696,99494695,4733334737.093,463686832922926989,294912,entity_dispatches
layout_update,hot_cold_split,3,2312,75759616,91604826,827026471.291,9835848422266164690,2359296,entity_updates
broadphase_dense,bitboard_256x256,3,128842,2061472,98454599,20938300.709,1465579,8192,attacker_queries
layout_update,soa,3,12376,405536768,97479165,4160240478.055,504033715703006143,2359296,entity_updates
numeric_motion,cell_256_int8,3,12932,52969472,100480305,527162731.045,4953305751670994776,16384,fighter_ticks
layout_update,aos_with_cold,3,1786,58523648,100292152,583531680.525,6126265558611129152,2359296,entity_updates
state_dispatch,switch,3,4878,159842304,118177200,1352564657.142,1431480254094629911,294912,entity_dispatches
broadphase_dense,grid_16x16,3,218688,3499008,95672227,36572870.829,2487576,2048,attacker_queries
numeric_motion,fixed_q16_16,3,27857,114102272,109678252,1040336346.717,5114672997083190090,65536,fighter_ticks
numeric_motion,hybrid_int_position_float_velocity,3,2887,11825152,100450266,117721460.290,2592684200359348522,98304,fighter_ticks
snapshot_64k,tracked_dirty_8x64,3,2834956,2834956,97150165,29181175.348,15415350360390020090,528,snapshots
world_resolution,world_256_u8,3,22020,90193920,96781961,931929039.958,582423745202475247,16384,fighter_ticks
broadphase_sparse,bitboard_256x256,4,256867,4109872,99377452,41356182.084,1412769,8192,attacker_queries
state_dispatch,data_table,4,14372,470941696,100113799,4704063782.456,463686832922926989,294912,entity_dispatches
numeric_motion,float32,4,19609,80318464,98562151,814901695.885,5809389148921457387,65536,fighter_ticks
broadphase_sparse,naive,4,305852,4893632,94459508,51806664.079,1682187,0,attacker_queries
broadphase_sparse,grid_16x16,4,515385,8246160,109566103,75261963.091,2834618,2048,attacker_queries
state_dispatch,switch,4,4878,159842304,99807960,1601498557.830,1431480254094629911,294912,entity_dispatches
layout_update,aos_with_cold,4,1786,58523648,98114351,596484076.015,6126265558611129152,2359296,entity_updates
state_dispatch,function_table,4,370,12124160,98167830,123504410.763,4741419544511688588,294912,entity_dispatches
broadphase_dense,grid_16x16,4,218688,3499008,97589882,35854208.739,2487576,2048,attacker_queries
layout_update,soa,4,12376,405536768,95506751,4246158138.078,504033715703006143,2359296,entity_updates
layout_update,hot_cold_split,4,2312,75759616,97591371,776294207.405,9835848422266164690,2359296,entity_updates
numeric_motion,cell_256_int8,4,12932,52969472,103798421,510310961.281,4953305751670994776,16384,fighter_ticks
snapshot_64k,scan_delta_64byte_chunks,4,66434,66434,103085020,644458.332,2425371727853661043,65536,snapshots
snapshot_64k,tracked_dirty_8x64,4,2834956,2834956,96397022,29409165.773,15415350360390020090,528,snapshots
snapshot_64k,full_copy_restore,4,34395,34395,97514781,352715.759,11454064898595554491,65536,snapshots
numeric_motion,hybrid_int_position_float_velocity,4,2887,11825152,96926745,122000919.354,2592684200359348522,98304,fighter_ticks
world_resolution,world_256_u8,4,22020,90193920,95152147,947891590.928,582423745202475247,16384,fighter_ticks
world_resolution,world_4096_u16,4,22903,93810688,95698713,980271155.789,6026945843039854204,32768,fighter_ticks
broadphase_sparse,sweep_rebuild,4,492834,7885344,94376612,83551886.775,2710588,0,attacker_queries
broadphase_dense,sweep_rebuild,4,61228,979648,93848128,10438652.543,696470,0,attacker_queries
broadphase_dense,naive,4,84031,1344496,100432013,13387125.876,955853,0,attacker_queries
broadphase_dense,bitboard_256x256,4,128842,2061472,95185413,21657436.103,1465579,8192,attacker_queries
numeric_motion,fixed_q16_16,4,27857,114102272,95134921,1199373172.339,5114672997083190090,65536,fighter_ticks
layout_update,aos_with_cold,5,1786,58523648,99164416,590167827.943,6126265558611129152,2359296,entity_updates
numeric_motion,cell_256_int8,5,12932,52969472,99384982,532972597.409,4953305751670994776,16384,fighter_ticks
broadphase_sparse,naive,5,305852,4893632,98259073,49803360.144,1682187,0,attacker_queries
layout_update,hot_cold_split,5,2312,75759616,92269788,821066327.800,9835848422266164690,2359296,entity_updates
state_dispatch,data_table,5,14372,470941696,100742576,4674703732.015,463686832922926989,294912,entity_dispatches
world_resolution,world_4096_u16,5,22903,93810688,100126999,936917004.773,6026945843039854204,32768,fighter_ticks
world_resolution,world_256_u8,5,22020,90193920,97836316,921885897.666,582423745202475247,16384,fighter_ticks
broadphase_sparse,bitboard_256x256,5,256867,4109872,101201540,40610765.409,1412769,8192,attacker_queries
broadphase_sparse,sweep_rebuild,5,492834,7885344,97099011,81209313.244,2710588,0,attacker_queries
snapshot_64k,full_copy_restore,5,34395,34395,105400963,326325.292,11454064898595554491,65536,snapshots
snapshot_64k,scan_delta_64byte_chunks,5,66434,66434,106085877,626228.504,2425371727853661043,65536,snapshots
numeric_motion,hybrid_int_position_float_velocity,5,2887,11825152,103696704,114035948.529,2592684200359348522,98304,fighter_ticks
state_dispatch,function_table,5,370,12124160,98366887,123254485.018,4741419544511688588,294912,entity_dispatches
broadphase_dense,bitboard_256x256,5,128842,2061472,99374096,20744561.037,1465579,8192,attacker_queries
broadphase_sparse,grid_16x16,5,515385,8246160,108444064,76040676.602,2834618,2048,attacker_queries
broadphase_dense,naive,5,84031,1344496,100262955,13409698.527,955853,0,attacker_queries
numeric_motion,fixed_q16_16,5,27857,114102272,98081060,1163346644.092,5114672997083190090,65536,fighter_ticks
state_dispatch,switch,5,4878,159842304,100075868,1597211267.755,1431480254094629911,294912,entity_dispatches
numeric_motion,float32,5,19609,80318464,97798628,821263709.344,5809389148921457387,65536,fighter_ticks
layout_update,soa,5,12376,405536768,97269527,4169206744.472,504033715703006143,2359296,entity_updates
broadphase_dense,grid_16x16,5,218688,3499008,104585825,33455853.123,2487576,2048,attacker_queries
snapshot_64k,tracked_dirty_8x64,5,2834956,2834956,98989275,28639021.753,15415350360390020090,528,snapshots
broadphase_dense,sweep_rebuild,5,61228,979648,96853843,10114704.483,696470,0,attacker_queries
world_resolution,world_256_u8,6,22020,90193920,98222269,918263454.085,582423745202475247,16384,fighter_ticks
numeric_motion,hybrid_int_position_float_velocity,6,2887,11825152,102083473,115838065.188,2592684200359348522,98304,fighter_ticks
layout_update,hot_cold_split,6,2312,75759616,94408099,802469457.626,9835848422266164690,2359296,entity_updates
snapshot_64k,scan_delta_64byte_chunks,6,66434,66434,104364905,636554.980,2425371727853661043,65536,snapshots
numeric_motion,cell_256_int8,6,12932,52969472,106218561,498683765.825,4953305751670994776,16384,fighter_ticks
state_dispatch,switch,6,4878,159842304,96988487,1648054412.891,1431480254094629911,294912,entity_dispatches
numeric_motion,fixed_q16_16,6,27857,114102272,96263427,1185312797.975,5114672997083190090,65536,fighter_ticks
layout_update,aos_with_cold,6,1786,58523648,103272303,566692581.650,6126265558611129152,2359296,entity_updates
numeric_motion,float32,6,19609,80318464,97873608,820634547.364,5809389148921457387,65536,fighter_ticks
broadphase_sparse,grid_16x16,6,515385,8246160,100908969,81718801.428,2834618,2048,attacker_queries
state_dispatch,function_table,6,370,12124160,96524767,125606726.406,4741419544511688588,294912,entity_dispatches
broadphase_dense,naive,6,84031,1344496,98195542,13692026.874,955853,0,attacker_queries
broadphase_sparse,bitboard_256x256,6,256867,4109872,98492465,41727780.902,1412769,8192,attacker_queries
snapshot_64k,tracked_dirty_8x64,6,2834956,2834956,96032792,29520707.885,15415350360390020090,528,snapshots
state_dispatch,data_table,6,14372,470941696,106138931,4437030706.480,463686832922926989,294912,entity_dispatches
broadphase_dense,grid_16x16,6,218688,3499008,100286215,34890218.960,2487576,2048,attacker_queries
broadphase_dense,sweep_rebuild,6,61228,979648,92038366,10643909.085,696470,0,attacker_queries
world_resolution,world_4096_u16,6,22903,93810688,100428390,934105266.449,6026945843039854204,32768,fighter_ticks
broadphase_sparse,naive,6,305852,4893632,93648342,52255404.586,1682187,0,attacker_queries
snapshot_64k,full_copy_restore,6,34395,34395,97736958,351913.961,11454064898595554491,65536,snapshots
broadphase_sparse,sweep_rebuild,6,492834,7885344,92882974,84895472.878,2710588,0,attacker_queries
broadphase_dense,bitboard_256x256,6,128842,2061472,96240124,21420088.777,1465579,8192,attacker_queries
layout_update,soa,6,12376,405536768,96170195,4216865402.009,504033715703006143,2359296,entity_updates
numeric_motion,fixed_q16_16,7,27857,114102272,97367212,1171875723.421,5114672997083190090,65536,fighter_ticks
broadphase_dense,naive,7,84031,1344496,102879881,13068599.875,955853,0,attacker_queries
snapshot_64k,scan_delta_64byte_chunks,7,66434,66434,101474574,654686.168,2425371727853661043,65536,snapshots
state_dispatch,function_table,7,370,12124160,97057582,124917185.759,4741419544511688588,294912,entity_dispatches
numeric_motion,hybrid_int_position_float_velocity,7,2887,11825152,123032720,96113879.300,2592684200359348522,98304,fighter_ticks
world_resolution,world_4096_u16,7,22903,93810688,98909323,948451421.511,6026945843039854204,32768,fighter_ticks
broadphase_dense,sweep_rebuild,7,61228,979648,93789142,10445217.635,696470,0,attacker_queries
world_resolution,world_256_u8,7,22020,90193920,100489267,897547794.831,582423745202475247,16384,fighter_ticks
broadphase_sparse,naive,7,305852,4893632,95424837,51282581.704,1682187,0,attacker_queries
state_dispatch,data_table,7,14372,470941696,98942880,4759733050.018,463686832922926989,294912,entity_dispatches
broadphase_sparse,bitboard_256x256,7,256867,4109872,98603403,41680833.267,1412769,8192,attacker_queries
broadphase_dense,grid_16x16,7,218688,3499008,98209000,35628180.717,2487576,2048,attacker_queries
layout_update,aos_with_cold,7,1786,58523648,95754077,611187009.823,6126265558611129152,2359296,entity_updates
broadphase_dense,bitboard_256x256,7,128842,2061472,95844724,21508455.698,1465579,8192,attacker_queries
numeric_motion,cell_256_int8,7,12932,52969472,104398123,507379543.596,4953305751670994776,16384,fighter_ticks
broadphase_sparse,sweep_rebuild,7,492834,7885344,92896944,84882706.152,2710588,0,attacker_queries
layout_update,soa,7,12376,405536768,95889660,4229202272.696,504033715703006143,2359296,entity_updates
state_dispatch,switch,7,4878,159842304,94610930,1689469747.311,1431480254094629911,294912,entity_dispatches
layout_update,hot_cold_split,7,2312,75759616,91125655,831375269.676,9835848422266164690,2359296,entity_updates
broadphase_sparse,grid_16x16,7,515385,8246160,101344310,81367764.998,2834618,2048,attacker_queries
numeric_motion,float32,7,19609,80318464,96573261,831684289.920,5809389148921457387,65536,fighter_ticks
snapshot_64k,tracked_dirty_8x64,7,2834956,2834956,95120932,29803702.933,15415350360390020090,528,snapshots
snapshot_64k,full_copy_restore,7,34395,34395,106016080,324431.916,11454064898595554491,65536,snapshots
broadphase_dense,sweep_rebuild,8,61228,979648,93150733,10516803.985,696470,0,attacker_queries
broadphase_dense,grid_16x16,8,218688,3499008,96772797,36156937.781,2487576,2048,attacker_queries
state_dispatch,function_table,8,370,12124160,100375537,120787996.382,4741419544511688588,294912,entity_dispatches
broadphase_sparse,bitboard_256x256,8,256867,4109872,98273408,41820794.492,1412769,8192,attacker_queries
broadphase_dense,naive,8,84031,1344496,97404274,13803254.670,955853,0,attacker_queries
state_dispatch,switch,8,4878,159842304,94312403,1694817425.021,1431480254094629911,294912,entity_dispatches
layout_update,soa,8,12376,405536768,99859848,4061059335.880,504033715703006143,2359296,entity_updates
numeric_motion,fixed_q16_16,8,27857,114102272,97175372,1174189196.827,5114672997083190090,65536,fighter_ticks
layout_update,hot_cold_split,8,2312,75759616,95608846,792391281.451,9835848422266164690,2359296,entity_updates
numeric_motion,cell_256_int8,8,12932,52969472,100174947,528769653.355,4953305751670994776,16384,fighter_ticks
layout_update,aos_with_cold,8,1786,58523648,101701958,575442687.151,6126265558611129152,2359296,entity_updates
broadphase_sparse,sweep_rebuild,8,492834,7885344,94766693,83207968.437,2710588,0,attacker_queries
world_resolution,world_256_u8,8,22020,90193920,104703977,861418282.135,582423745202475247,16384,fighter_ticks
snapshot_64k,tracked_dirty_8x64,8,2834956,2834956,98832677,28684399.594,15415350360390020090,528,snapshots
numeric_motion,hybrid_int_position_float_velocity,8,2887,11825152,103891406,113822234.728,2592684200359348522,98304,fighter_ticks
numeric_motion,float32,8,19609,80318464,97215744,826187824.063,5809389148921457387,65536,fighter_ticks
snapshot_64k,full_copy_restore,8,34395,34395,99220239,346653.065,11454064898595554491,65536,snapshots
world_resolution,world_4096_u16,8,22903,93810688,103184189,909157584.211,6026945843039854204,32768,fighter_ticks
snapshot_64k,scan_delta_64byte_chunks,8,66434,66434,102927656,645443.631,2425371727853661043,65536,snapshots
state_dispatch,data_table,8,14372,470941696,100970428,4664154696.858,463686832922926989,294912,entity_dispatches
broadphase_sparse,naive,8,305852,4893632,104025515,47042612.574,1682187,0,attacker_queries
broadphase_dense,bitboard_256x256,8,128842,2061472,99168944,20787475.563,1465579,8192,attacker_queries
broadphase_sparse,grid_16x16,8,515385,8246160,103743689,79485895.282,2834618,2048,attacker_queries
layout_update,soa,9,12376,405536768,96694351,4194006824.659,504033715703006143,2359296,entity_updates
broadphase_sparse,sweep_rebuild,9,492834,7885344,99223438,79470578.312,2710588,0,attacker_queries
broadphase_sparse,bitboard_256x256,9,256867,4109872,99292918,41391391.076,1412769,8192,attacker_queries
layout_update,aos_with_cold,9,1786,58523648,98632065,593353165.626,6126265558611129152,2359296,entity_updates
broadphase_dense,grid_16x16,9,218688,3499008,99223802,35263796.886,2487576,2048,attacker_queries
world_resolution,world_4096_u16,9,22903,93810688,98710446,950362315.251,6026945843039854204,32768,fighter_ticks
snapshot_64k,full_copy_restore,9,34395,34395,100764698,341339.782,11454064898595554491,65536,snapshots
broadphase_dense,sweep_rebuild,9,61228,979648,93706875,10454387.685,696470,0,attacker_queries
snapshot_64k,scan_delta_64byte_chunks,9,66434,66434,104284951,637043.019,2425371727853661043,65536,snapshots
numeric_motion,hybrid_int_position_float_velocity,9,2887,11825152,115204814,102644599.556,2592684200359348522,98304,fighter_ticks
world_resolution,world_256_u8,9,22020,90193920,102776000,877577644.586,582423745202475247,16384,fighter_ticks
