family,candidate,round,iterations,work_items,elapsed_ns,items_per_second,checksum,state_bytes,unit
layout_update,hot_cold_split,12,2312,75759616,91081096,831781997.880,9835848422266164690,2359296,entity_updates
numeric_motion,fixed_q16_16,12,27857,114102272,98926921,1153399608.990,5114672997083190090,65536,fighter_ticks
broadphase_dense,sweep_rebuild,12,61228,979648,93778093,10446448.298,696470,0,attacker_queries
broadphase_sparse,naive,12,305852,4893632,94373799,51853714.186,1682187,0,attacker_queries
state_dispatch,switch,12,4878,159842304,95645634,1671192895.224,1431480254094629911,294912,entity_dispatches
numeric_motion,cell_256_int8,12,12932,52969472,99694678,531316947.531,4953305751670994776,16384,fighter_ticks
broadphase_sparse,grid_16x16,12,515385,8246160,99639794,82759705.425,2834618,2048,attacker_queries
layout_update,aos_with_cold,12,1786,58523648,97862977,598016224.256,6126265558611129152,2359296,entity_updates
broadphase_sparse,sweep_rebuild,12,492834,7885344,96769387,81485935.216,2710588,0,attacker_queries
layout_update,soa,12,12376,405536768,94271881,4301778682.023,504033715703006143,2359296,entity_updates
snapshot_64k,scan_delta_64byte_chunks,12,66434,66434,103919836,639281.224,2425371727853661043,65536,snapshots
snapshot_64k,full_copy_restore,12,34395,34395,98106874,350587.055,11454064898595554491,65536,snapshots
snapshot_64k,tracked_dirty_8x64,12,2834956,2834956,96786445,29290837.162,15415350360390020090,528,snapshots
numeric_motion,float32,12,19609,80318464,96645369,831063762.610,5809389148921457387,65536,fighter_ticks
state_dispatch,function_table,12,370,12124160,97318136,124582739.645,4741419544511688588,294912,entity_dispatches
numeric_motion,hybrid_int_position_float_velocity,12,2887,11825152,99482682,118866437.477,2592684200359348522,98304,fighter_ticks
world_resolution,world_4096_u16,12,22903,93810688,96263702,974517767.871,6026945843039854204,32768,fighter_ticks
world_resolution,world_256_u8,12,22020,90193920,96629895,933395612.196,582423745202475247,16384,fighter_ticks
broadphase_dense,grid_16x16,12,218688,3499008,99885052,35030346.683,2487576,2048,attacker_queries
broadphase_sparse,bitboard_256x256,12,256867,4109872,98105244,41892480.284,1412769,8192,attacker_queries
broadphase_dense,bitboard_256x256,12,128842,2061472,98676222,20891274.090,1465579,8192,attacker_queries
broadphase_dense,naive,12,84031,1344496,98972575,13584530.866,955853,0,attacker_queries
numeric_motion,cell_256_int8,13,12932,52969472,99656058,531522850.322,4953305751670994776,16384,fighter_ticks
snapshot_64k,scan_delta_64byte_chunks,13,66434,66434,103093457,644405.590,2425371727853661043,65536,snapshots
broadphase_dense,sweep_rebuild,13,61228,979648,93434288,10484887.518,696470,0,attacker_queries
layout_update,soa,13,12376,405536768,96781821,4190216342.385,504033715703006143,2359296,entity_updates
layout_update,hot_cold_split,13,2312,75759616,91482947,828128284.936,9835848422266164690,2359296,entity_updates
world_resolution,world_4096_u16,13,22903,93810688,97688212,960307145.349,6026945843039854204,32768,fighter_ticks
numeric_motion,hybrid_int_position_float_velocity,13,2887,11825152,100711367,117416259.477,2592684200359348522,98304,fighter_ticks
state_dispatch,data_table,13,14372,470941696,98975783,4758150748.855,463686832922926989,294912,entity_dispatches
world_resolution,world_256_u8,13,22020,90193920,96368780,935924684.322,582423745202475247,16384,fighter_ticks
numeric_motion,float32,13,19609,80318464,96650663,831018241.437,5809389148921457387,65536,fighter_ticks
snapshot_64k,full_copy_restore,13,34395,34395,97626999,352310.328,11454064898595554491,65536,snapshots
state_dispatch,function_table,13,370,12124160,98225556,123431828.678,4741419544511688588,294912,entity_dispatches
broadphase_sparse,grid_16x16,13,515385,8246160,99842694,82591521.419,2834618,2048,attacker_queries
broadphase_dense,bitboard_256x256,13,128842,2061472,95403682,21607887.209,1465579,8192,attacker_queries
broadphase_sparse,naive,13,305852,4893632,94950334,51538860.306,1682187,0,attacker_queries
broadphase_sparse,bitboard_256x256,13,256867,4109872,98296105,41811137.888,1412769,8192,attacker_queries
broadphase_dense,naive,13,84031,1344496,100090883,13432751.912,955853,0,attacker_queries
state_dispatch,switch,13,4878,159842304,97760893,1635033182.440,1431480254094629911,294912,entity_dispatches
numeric_motion,fixed_q16_16,13,27857,114102272,96522112,1182136089.190,5114672997083190090,65536,fighter_ticks
broadphase_sparse,sweep_rebuild,13,492834,7885344,92905787,84874626.809,2710588,0,attacker_queries
layout_update,aos_with_cold,13,1786,58523648,97287636,601552781.075,6126265558611129152,2359296,entity_updates
snapshot_64k,tracked_dirty_8x64,13,2834956,2834956,96741571,29304423.845,15415350360390020090,528,snapshots
broadphase_dense,grid_16x16,13,218688,3499008,94025117,37213545.823,2487576,2048,attacker_queries
numeric_motion,hybrid_int_position_float_velocity,14,2887,11825152,97154459,121714969.356,2592684200359348522,98304,fighter_ticks
state_dispatch,function_table,14,370,12124160,97183054,124755906.518,4741419544511688588,294912,entity_dispatches
layout_update,soa,14,12376,405536768,98319751,4124672447.553,504033715703006143,2359296,entity_updates
snapshot_64k,full_copy_restore,14,34395,34395,97524950,352678.981,11454064898595554491,65536,snapshots
snapshot_64k,scan_delta_64byte_chunks,14,66434,66434,146435099,453675.386,2425371727853661043,65536,snapshots
state_dispatch,switch,14,4878,159842304,111829526,1429339010.164,1431480254094629911,294912,entity_dispatches
broadphase_dense,naive,14,84031,1344496,100958851,13317267.250,955853,0,attacker_queries
numeric_motion,cell_256_int8,14,12932,52969472,104994641,504496910.466,4953305751670994776,16384,fighter_ticks
numeric_motion,fixed_q16_16,14,27857,114102272,102412818,1114140536.588,5114672997083190090,65536,fighter_ticks
broadphase_sparse,naive,14,305852,4893632,99417259,49223163.556,1682187,0,attacker_queries
broadphase_sparse,grid_16x16,14,515385,8246160,106851795,77173808.826,2834618,2048,attacker_queries
broadphase_sparse,bitboard_256x256,14,256867,4109872,102857035,39957130.788,1412769,8192,attacker_queries
state_dispatch,data_table,14,14372,470941696,104000313,4528271910.105,463686832922926989,294912,entity_dispatches
snapshot_64k,tracked_dirty_8x64,14,2834956,2834956,106763779,26553537.413,15415350360390020090,528,snapshots
layout_update,hot_cold_split,14,2312,75759616,92613204,818021758.539,9835848422266164690,2359296,entity_updates
layout_update,aos_with_cold,14,1786,58523648,132231305,442585422.567,6126265558611129152,2359296,entity_updates
broadphase_dense,grid_16x16,14,218688,3499008,102778911,34044026.795,2487576,2048,attacker_queries
world_resolution,world_4096_u16,14,22903,93810688,98215444,955152104.184,6026945843039854204,32768,fighter_ticks
broadphase_dense,sweep_rebuild,14,61228,979648,94210712,10398477.829,696470,0,attacker_queries
numeric_motion,float32,14,19609,80318464,100113951,802270444.805,5809389148921457387,65536,fighter_ticks
world_resolution,world_256_u8,14,22020,90193920,97566195,924438223.711,582423745202475247,16384,fighter_ticks
broadphase_dense,bitboard_256x256,14,128842,2061472,99534908,20711045.415,1465579,8192,attacker_queries
broadphase_sparse,sweep_rebuild,14,492834,7885344,100155103,78731325.352,2710588,0,attacker_queries
